SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,Label
172.17.0.2,20.230.171.39,56026,443,2023-10-28 12:53:02,24.83145,1417,57.06473041244068,0,0.0,178846.24,422.9021636265296,283.4,66.0,66,1.5422006697888788,0.5140668899296262,1.492244755210055,124.50129631255464,11.158014891214057,12.9629296,15.14905,0.0,-0.5877713252707814,1.1617594819852008,0.8607633641097654,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
142.250.190.8,172.17.0.2,443,53306,2023-10-28 12:53:02,29.349733,3961,134.9586382949378,0,0.0,9536.725758477096,97.65616088336206,96.60975609756098,66.0,66,0.9403325654216672,0.3134441884738891,1.0108312537788045,38.93661481052371,6.239921058036208,2.039544268292683,0.122034,0.0,0.9218915994889928,0.3268541780133604,3.059468311153496,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,142.250.190.8,53306,443,2023-10-28 12:53:02,29.32831,184699,6297.6352882249275,0,0.0,16405647.907596372,4050.388611923104,4397.595238095239,2866.0,5666,1.134406140872526,-0.313156312500723,0.921046252014198,19.779737461154312,4.447441675969941,1.465919857142857,0.1065895,0.0,0.916929634729657,0.3296096866347674,3.033891419301872,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
104.18.40.222,172.17.0.2,443,44858,2023-10-28 12:53:02,29.251643,3858,131.89002751059144,0,0.0,12795.955017301034,113.11920711046837,113.47058823529412,78.0,78,0.9407046550632576,0.3135682183544193,0.9969033286044384,47.13368745552973,6.865397836653731,1.7792221764705882,0.0737395,0.0,0.7452514990603336,0.2591579131760557,3.858651228298256,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,104.18.40.222,44858,443,2023-10-28 12:53:02,29.236692,104258,3565.9985062605574,0,0.0,15907413.434343431,3988.40988795578,3159.333333333333,1514.0,1514,1.2375859399270266,0.4125286466423422,1.2624213614546675,25.023287422019568,5.002328200150363,0.9394559393939392,0.060529,0.0,0.5271107197849513,0.18780373894014,5.324707621069977,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
142.250.190.14,172.17.0.2,443,58070,2023-10-28 12:53:02,29.114095,3107,106.71806903151204,0,0.0,48367.23875432526,219.9255300194256,182.76470588235293,74.0,66,1.483657298078299,0.5309283823121369,1.203326041303584,85.78840510380859,9.262203037280525,3.8034944117647056,0.089904,0.0,1.2028208829424623,0.4106468403311368,2.435182501814994,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,142.250.190.14,58070,443,2023-10-28 12:53:02,29.08713,7504,257.9835136708228,0,0.0,935293.3209876544,967.1056410690894,416.8888888888889,97.0,66,0.9923080022631248,0.3628237433306643,2.3198163032041057,43.24745180442383,6.576279480407127,2.1820830555555557,0.0722385,0.0,0.9624794210045974,0.3318111801751568,3.0137622230574603,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
162.159.153.4,172.17.0.2,443,44892,2023-10-28 12:53:02,29.058396,13010,447.71913769775864,0,0.0,8400.27759514939,91.65302829230134,111.1965811965812,66.0,66,1.4793809448097943,0.4931269816032648,0.824243221383494,13.796920254582432,3.714420581272728,0.8963317008547008,0.413573,0.0,0.3899063315193719,0.2413113112106376,4.144024558911424,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,162.159.153.4,44892,443,2023-10-28 12:53:02,29.03651,877808,30231.18136442706,0,0.0,71898998.70247935,8479.327727035874,4987.545454545455,747.5,97,1.5001350075288284,0.5767609900195528,1.700100340801535,4.642603272659853,2.1546701076173713,0.5858601647727272,0.482145,0.324841,0.1444051658851134,0.1211411268249141,3.677789064995112,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
104.16.57.101,172.17.0.2,443,58224,2023-10-28 12:53:02,28.744534,1980,68.88266130875526,0,0.0,27087.443786982247,164.5826351319672,152.30769230769232,66.0,66,1.573210179284496,0.5244033930948321,1.0805930589472594,107.06873319942352,10.347402244013882,4.462135,0.052583,0.0,1.2784518943054488,0.4312323900021773,2.3189352729161894,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
