SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,DoH
18.160.233.68,172.17.0.2,443,32776,2023-10-16 13:27:48,2.501420,2138,854.7145221514179945790790831,0,0E+6,25511.786982248523,159.72409643584942,164.46153846153845,97.0,66,1.2670888106473017,0.6164476159743619,0.9711942252881396,0.7782378016842366863905325438,0.8821778741751782829002607205,0.4195113846153846153846153846,0.044917,0.0,1.273873656032092736955525588,0.4755405875573799,2.102869925649275068303526257,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
172.17.0.2,104.244.42.69,48538,443,2023-10-16 13:27:48,23.883545,12486,522.7867136139128425030706288,0,0E+6,139981.37130177516,374.1408442041248,240.1153846153846,178.0,177,0.49806418286822113,0.16869418453802906,1.558171063480257,80.37690726367357692307692308,8.965316908156318872373121888,19.668043,23.7524505,0.0,-1.366736126065154968634811589,2.193792277672497,0.4558316711101515729029635479,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
172.17.0.2,104.244.42.69,48548,443,2023-10-16 13:27:48,0.086179,3753,43548.89242158762575569454275,0,0E+6,1088411.0400000003,1043.2693995320674,750.6,74.0,66,1.945614431814464,0.6562063454626967,1.3899139348948406,0.00075245066536,0.02743083420824091525317314841,0.0468438,0.049890,0.0,-0.3331506410131170491661748964,1.7077059940789894,0.5855808924177994794011832603,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
172.17.0.2,18.160.233.68,32776,443,2023-10-16 13:27:48,2.542588,10659,4192.185285229065817977588190,0,0E+6,2759019.6875,1661.0297069890112,888.25,174.5,66,1.2891099966426824,0.4950242590727125,1.8700024846484786,1.12710548542825,1.061652243170168222858943640,0.6617525,0.057816,0.0,1.706594142908613350482752357,0.6233232249610856,1.604304091288160185052483580,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
3.162.174.66,172.17.0.2,443,40786,2023-10-16 13:27:48,2.524266,2014,797.8556934966441729992005597,0,0E+6,24426.5325443787,156.28989904782298,154.92307692307693,74.0,66,1.553326428952047,0.5689624055350336,1.0088225857108732,0.7777460732165443786982248515,0.8818991287083485823542322050,0.4216553846153846153846153846,0.051620,0.0,1.258767718108581140946950700,0.47812201065778526,2.091516344592107950095050035,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
142.250.112.157,172.17.0.2,443,53190,2023-10-16 13:27:48,3.630178,2673,736.3275299448126235132271751,0,0E+6,29692.18359375,172.31420020923986,167.0625,87.5,66,1.3851876381062243,0.5865012858910092,1.0314355418435608,2.247164405805359375,1.499054503947524709547601060,0.947778875,0.100282,0.0,1.696062830473975474379842647,0.6322511106195092,1.581650048855039852568565701,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
172.17.0.2,3.162.174.66,40786,443,2023-10-16 13:27:48,2.459965,8539,3471.187598197535330787226648,0,0E+6,1473517.6528925619,1213.8853540975613,776.2727272727273,212.0,66,1.3945453548013795,0.5851234013781847,1.5637356710473327,0.8651102943676363636363636364,0.9301130546162850001546997076,0.488033,0.065555,0.0,1.362666606720056861030493215,0.5247028816312403,1.905840495655590913226563998,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
172.17.0.2,142.250.112.157,53190,443,2023-10-16 13:27:48,3.605643,7723,2141.920317679814668285240663,0,0E+6,846797.6275000001,920.2160765276817,386.15,98.0,66,0.9393989325440738,0.34790741888366616,2.38305341584276,2.69707915603616,1.642278647500526933645710608,1.2914628,0.1114515,3.504868,2.155562276467376503298965767,-1.3477647069020242,1.271642239714939473011309817,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
172.217.1.98,172.17.0.2,443,54970,2023-10-16 13:27:48,13.654483,3213,235.3073345947993783433616637,0,0E+6,36507.6731301939,191.06981218966513,169.10526315789474,101.0,66,1.069325327388036,0.539620895505709,1.1298868445700707,42.89340485451498060941828255,6.549305677284805173580323678,5.063265421052631578947368421,0.083641,0.0,2.280985802047831058894644858,0.7730995727705516,1.293494441364527968475951700,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
172.17.0.2,172.217.1.98,54970,443,2023-10-16 13:27:48,13.658815,9763,714.7765014754208179845762608,0,0E+6,823047.2665289256,907.2195249932211,443.77272727272725,101.0,66,1.1334833008867016,0.4164071835596242,2.0443336627932873,42.58660355371828925619834711,6.525841214258763226791820980,4.994639727272727272727272727,0.0773935,0.077393,2.260511434079346660808845068,0.753503887978257,1.306568956040025154507186145,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
